Hàng,Thứ tự,Dạng Layout,URL,Tiêu đề,Grid Size,Ghi chú
13,,job_slider_item,https://www.sjob.gl/job-dk/daginstitution-tikiusaaq-soger-stottepersoner/2334824,Daginstitution Tikiusaaq søger støttepersoner,,Article trong slider
13,,job_slider_item,https://www.sjob.gl/job-dk/atuarfik-inussuk-soger-stottepersoner/2334803,Atuarfik Inussuk søger støttepersoner,,Article trong slider
13,,job_slider_item,https://www.sjob.gl/job-dk/socialradgiver-til-heldagsskolen/2334787,Socialrådgiver til Heldagsskolen,,Article trong slider
13,,job_slider_item,https://www.sjob.gl/job-dk/heldagsskolen-soger-stottepersoner/2334771,Heldagsskolen søger støttepersoner,,Article trong slider
13,,job_slider_item,https://www.sjob.gl/job-dk/heldagsskolen-soger-kaffedame/2334746,Heldagsskolen søger kaffedame,,Article trong slider
13,,job_slider_item,https://www.sjob.gl/job-dk/atuarfik-inussuk-soger-stottepersoner/2334730,Atuarfik Inussuk søger støttepersoner,,Article trong slider
14,20000,2_articles,https://www.sermitsiaq.ag/samfund/demokraatit-fremrykket-inatsisartut-mode-skal-samle-politisk-kurs-i-alvorlig-tid/2333761,Demokraatit: Fremrykket Inatsisartut-møde skal samle politisk kurs i alvorlig tid,6,
14,20001,2_articles,https://www.sermitsiaq.ag/samfund/fik-inspirationen-til-onlinekiosk-fra-tid-i-taxabranchen/2328735,Fik inspirationen til onlinekiosk fra tid i taxabranchen,6,
15,21000,1_with_list_right,https://www.sermitsiaq.ag/erhverv/for-tidligt-at-sige-om-trumps-toldregime-vil-stoppe-royal-greenlands-usa-eksport/2333365,-	For tidligt at sige om Trumps toldregime vil stoppe Royal Greenlands USA-eksport,6,
16,22000,1_full,https://www.sermitsiaq.ag/samfund/jens-frederik-nielsen-holder-pressemode-klokken-14/2334038,Jens-Frederik Nielsen holder pressemøde klokken 14,12,
17,24000,3_articles,https://www.sermitsiaq.ag/samfund/aaja-chemnitz-vi-er-et-godt-sted-men-i-en-meget-intens-periode-som-fortsaetter-lidt-endnu/2333957,"Aaja Chemnitz: Vi er et godt sted, men i en meget intens periode som fortsætter lidt endnu",4,
17,24001,3_articles,https://www.sermitsiaq.ag/kultur/to-timers-ro-sangerinde-reparerede-flossede-nerver/2333348,To timers ro - sangerinde reparerede flossede nerver,4,
17,24002,3_articles,https://www.sermitsiaq.ag/erhverv/ingen-forsyningsskibe-til-isfrie-omrader/2329535,Ingen forsyningsskibe til isfrie områder,4,
18,25000,2_articles,https://www.sermitsiaq.ag/samfund/soldater-vil-traene-i-at-beskytte-gronland-hele-aret/2332205,Soldater vil træne i at beskytte Grønland hele året,6,
18,25001,2_articles,https://www.sermitsiaq.ag/samfund/trump-provokerer-alfred/2331557,Trump provokerer Alfred,6,
19,26000,2_articles,https://www.sermitsiaq.ag/samfund/trump-ramme-for-aftale-om-gronland-er-pa-plads/2333798,Trump: Ramme for aftale om Grønland er på plads,6,
19,26001,2_articles,https://www.sermitsiaq.ag/samfund/trafikstyrelsen-vi-abner-kun-lufthavn-med-vand-nok/2330152,Trafikstyrelsen: Vi åbner kun lufthavn med vand nok,6,
20,27000,1_full,https://www.sermitsiaq.ag/samfund/prepping-tager-fart-i-nuuk-generatorer-og-vanddunke-udsolgt/2333540,Prepping tager fart i Nuuk: Generatorer og vanddunke udsolgt,12,
21,28000,2_articles,https://www.sermitsiaq.ag/samfund/naalakkersuisut-lancerer-krise-vejledning-borgerne-skal-kunne-klare-sig-i-fem-dogn/2329530,Naalakkersuisut lancerer krise-vejledning: Borgerne skal kunne klare sig i fem døgn,6,
21,28001,2_articles,https://www.sermitsiaq.ag/samfund/politiet-anmoder-borgerne-om-hjaelp-i-efterforskning-af-dodsfald/2332576,Politiet anmoder borgerne om hjælp i efterforskning af dødsfald,6,
